\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Affection Status\,phv00404958,AFFECTION_STATUS
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Sociodemography\,phv00404970,AGE
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Sociodemography\,phv00404980,SEX
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Sociodemography\,phv00404981,RACE
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Sociodemography\,phv00405084,EDUC
"\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00404956,SUBJECT_ID
"\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00404957,CONSENT
"\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00404959,SUBJECT_SOURCE
"\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Subject IDs, Consents, and Subject Aliases\",phv00404960,SOURCE_SUBJECT_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Pedigree\,phv00404961,FAMILY_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Pedigree\,phv00404962,SUBJECT_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Pedigree\,phv00404963,MOTHER
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Pedigree\,phv00404964,FATHER
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Pedigree\,phv00404965,SEX
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Pedigree\,phv00404966,MZ_TWIN_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Subject Sample Mapping\,phv00404967,SUBJECT_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Subject Sample Mapping\,phv00404968,SAMPLE_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Other IDs and Field Center\,phv00404973,SUBJECT_ID
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Other IDs and Field Center\,phv00404969,CENTER
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Sociodemography and Administration\Other IDs and Field Center\,phv00404979,labid
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405077,YR6MENOPAUS
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405078,YR6PREGTERM
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405079,YR6N_TERM
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405080,YR6PREG_HT
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405081,YR6ECLAMPS
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405082,HORMONE
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405083,HORMNAGE
\NHLBI TOPMed: HyperGEN - Genetics of Left Ventricular (LV) Hypertrophy\Medical History\,phv00405101,HADX
