\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00202094,famid
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00202097,Father
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00202095,id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00202096,Mother
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00273288,mz_twin_id
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Pedigree\,phv00202098,sex
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202106,fa14_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202107,fa14_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202120,fa14_1n5_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202121,fa14_1n5_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202108,fa15_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202109,fa15_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202110,fa16_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202111,fa16_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202122,fa16_1n7_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202123,fa16_1n7_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202112,fa18_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202113,fa18_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202124,fa18_1n7_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202125,fa18_1n7_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202126,fa18_1n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202127,fa18_1n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202136,fa18_2n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202137,fa18_2n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202152,fa18_3n3_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202153,fa18_3n3_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202138,fa18_3n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202139,fa18_3n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202154,fa18_4n3_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202155,fa18_4n3_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202114,fa20_0_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202115,fa20_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202117,fa22_0_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202128,fa20_1n9_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202129,fa20_1n9_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202140,fa20_2n6_v2d1
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202141,fa20_2n6_v2d2
\Genetics of Lipid Lowering Drugs and Diet Network (GOLDN) Lipidomics Study\Phenotype Data\Laboratory Tests\Fatty Acids - Fasting - Postprandial\,phv00202142,fa20_3n6_v2d1
