\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Laboratory Tests\,phv00098769,LPPLA2
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Laboratory Tests\,phv00098770,LPPLA2AC
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Sociodemography and Administration\,phv00098765,DDIMER
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Sociodemography and Administration\,phv00098768,D_DIMER
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Sociodemography and Administration\,phv00098764,ICAM1
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Sociodemography and Administration\,phv00098763,Individual_ID
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Sociodemography and Administration\,phv00098766,PAP
\Cardiovascular Health Study (CHS) Cohort\ADDITIONAL_BIOMARKERS\Sociodemography and Administration\,phv00098767,PAI_1
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Alcohol\,phv00100084,ALCOH
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Diet\,phv00099335,CAFFHR11
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098972,ACTIV104
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098973,ACTIV204
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00099436,ADL
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098926,AERO04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098927,AEROFR04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098929,AEROMO04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098928,AEROTM04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098914,BIKE04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098915,BIKEFR04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098917,BIKEMO04
\Cardiovascular Health Study (CHS) Cohort\BASE1\Lifestyle and Environment\Exercise\,phv00098916,BIKETM04
